state,x,y
Alabama,120,-70
Alaska,-215,-180
Arizona,-220,-40
Arkansas,37,-53
California,-318,15
Colorado,-132,20
Connecticut,295,85
Delaware,275,42
Florida,210,-145
Georgia,172,-75
Hawaii,-317,-143
Idaho,-216,110
Illinois,85,37
Indiana,123,39
Iowa,33,63
Kansas,-30,5
Kentucky,145,-5
Louisiana,50,-132
Maine,310,160
Maryland,278,27
Massachusetts,307,107
Michigan,135,90
Minnesota,10,135
Mississippi,80,-90
Missouri,40,6
Montana,-155,150
Nebraska,-60,55
Nevada,-270,50
New Hampshire,302,127
New Jersey,282,65
New Mexico,-150,-50
New York,236,100
North Carolina,210,-30
North Dakota,-65,158
Ohio,170,45
Oklahoma,-15,-41
Oregon,-290,135
Pennsylvania,210,65
Rhode Island,318,96
South Carolina,210,-60
South Dakota,-60,105
Tennessee,120,-35
Texas,-38,-106
Utah,-195,30
Vermont,270,140
Virginia,225,0
Washington,-285,180
West Virginia,200,20
Wisconsin,60,113
Wyoming,-150,90
